ID (empty = will be removed in conversion),Name,Beschreibung,Name,Beschreibung,Thema,Zielgruppe (löschen?),Veröffentlichungsdatum (Date Published),Aktualisierungsdatum (Date Modified),Sprache (ISO 639-1),Website of service,Beschrieben bei (described at URL),Betreut durch (maintained by),Urheber,Verwendet von (used by),Quellcode Repositorium,educationalLevel,Schnittstelle / API Dokumentation,Lizenz,Datenmodell (complies with),Dateiformate,Downloadlink ttl,Downloadlink json,Downloadlink XML,Downloadlink,"DUPLIKATSPALTE (ZUM GENERIEREN, SPÄTER LÖSCHEN)",rawVocab,Type,Schlagworte,Notizen
25,"Kompetenzen in der digitalen Welt (KMK),","Die Digitalisierung und Mediatisierung haben in allen Bereichen unserer Lebens- und Arbeits-
welt zu entscheidenden Veränderungen geführt. Diese gehen über einen rein technischen
Fortschritt hinaus und führen zu einem breit angelegten kulturellen und gesellschaftlichen
Wandel, der sich auf das schulische Lehren und Lernen und auf die Bewältigung und Gestal-
tung von Lebens- bzw. Arbeitsprozessen von Kindern, Jugendlichen und jungen Erwachsenen
auswirkt.","Competencies in the digital world (KMK),","Digitalization and mediatization have had an impact on all areas of our lives and work.
led to decisive changes in the world. These go beyond a purely technical one
progress and lead to a broad cultural and social
Change that affects school teaching and learning and coping and shaping
ment of life and work processes of children, adolescents and young adults
effects.",digitalisierungsbezogene Kompetenzen,,,,de,,http://w3id.org/kim/kmk-vocabs/digitalisierungsbezogene-kompetenzen/,DINI-AG-KIM,,,,,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/dini-ag-kim/kmk-vocabs/refs/heads/main/digitalisierungsbezogene-kompetenzen.ttl,http://w3id.org/kim/kmk-vocabs/digitalisierungsbezogene-kompetenzen/index.json,,,http://w3id.org/kim/kmk-vocabs/digitalisierungsbezogene-kompetenzen/,,http://www.wikidata.org/entity/Q1469848,,
26,"Kompetenzen in der digitalen Welt (KMK),","Die Digitalisierung und Mediatisierung haben in allen Bereichen unserer Lebens- und Arbeits-
welt zu entscheidenden Veränderungen geführt. Diese gehen über einen rein technischen
Fortschritt hinaus und führen zu einem breit angelegten kulturellen und gesellschaftlichen
Wandel, der sich auf das schulische Lehren und Lernen und auf die Bewältigung und Gestal-
tung von Lebens- bzw. Arbeitsprozessen von Kindern, Jugendlichen und jungen Erwachsenen
auswirkt.","Competencies in the digital world (KMK),","Digitalization and mediatization have had an impact on all areas of our lives and work.
led to decisive changes in the world. These go beyond a purely technical one
progress and lead to a broad cultural and social
Change that affects school teaching and learning and coping and shaping
ment of life and work processes of children, adolescents and young adults
effects.",digitalisierungsbezogene Kompetenzen,,,,de,,https://vocabs.sodix.de/index.de.html,SODIX,,,,,,,SKOS,,,,,,https://vocabs.sodix.de/index.de.html,,http://www.wikidata.org/entity/Q1469849,,
27,"Medienkompetenzrahmen NRW,",Standard für die Schul- und Unterrichtsentwicklung zur Förderung von Medienkompetenz in der Primarstufe und der Sekundarstufe I sowie zur Förderung digitaler Schlüsselkompetenzen am Berufskolleg,"Media Competence Framework NRW,",Standard for school and teaching development to promote media competence at primary and lower secondary level as well as to promote key digital skills at vocational colleges,digitalisierungsbezogene Kompetenzen,,,,de,,http://w3id.org/openeduhub/vocabs/medienkompetenzrahmenNRW/,Open Edu Hub/WirLernenOnline/ComeIn,,,,,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/medienkompetenzrahmenNRW.ttl,http://w3id.org/openeduhub/vocabs/medienkompetenzrahmenNRW/index.json,,,http://w3id.org/openeduhub/vocabs/medienkompetenzrahmenNRW/,,http://www.wikidata.org/entity/Q1469850,,
28,"DaZKom: Ein Modell professioneller Kompetenzen angehender Lehrkräfte im Bereich Deutsch als Zweitsprache,","Das DaZKom-Projekt ist ein Kooperationsprojekt der Leuphana Universität Lüneburg und der Universität Bielefeld. Gefördert wird das Projekt vom BMBF im Rahmen des Transferprojektes „Kompetenzmodelle und Instrumente der Kompetenzerfassung im Hochschulsektor – Validierungen und methodische Innovationen“ (KoKoHs)"" (https://www.dazkom.de/links/). Das Projekt hat das Ziel der theoretischen Modellierung und empirischen Überprüfung von Kompetenzen im Bereich Deutsch als Zweitsprache (DaZ), die Lehrer*innen zusätzlich zu ihrer disziplinären Expertise besitzen müssen, um v.a. SchülerInnen mit nichtdeutscher Herkunftssprache im regulären Unterricht angemessen fördern zu können.","DaZKom: A model of professional skills for prospective teachers in the field of German as a second language,","The DaZKom project is a cooperation project between the Leuphana University of Lüneburg and the University of Bielefeld. The project is funded by the BMBF as part of the transfer project ""Competence models and instruments for assessing competence in the higher education sector - validations and methodological innovations"" (KoKoHs)"" (https://www.dazkom.de/links/). The aim of the project is to theoretically model and empirically test competencies in the area of ​​German as a second language (DaZ), which teachers must possess in addition to their disciplinary expertise in order to teach, in particular, students with a non-German language of origin in the regular to support teaching appropriately.",digitalisierungsbezogene Kompetenzen,,,,de,,http://w3id.org/comein/vocabs/dazkom/,ComeIn,,,https://github.com/ComeIn-NRW/vocabs,,,,SKOS,application/json,,https://comein-nrw.github.io/vocabs/w3id.org/comein/vocabs/dazkom/index.json,,,http://w3id.org/comein/vocabs/dazkom/,,http://www.wikidata.org/entity/Q1469851,,
29,Bildungsstandards (IQB),"Bildungsstandards sind fachdidaktisch begründete und auf mittlerem Abstraktionsgrad formulierte Leistungserwartungen an die Schüler*innen. Sie nehmen damit eine Mittelstellung zwischen sehr allgemeinen Bildungszielen einerseits und konkreten Aufgabenstellungen andererseits ein und setzen diese miteinander in Beziehung. Sie sind dadurch sowohl zukunfts- und verwendungsoffen als auch gesellschaftlich konsensfähig. Mithilfe der Testergebnisse kann nachgewiesen werden, wie gut Schüler*innen in der Lage sind, fachbezogene Aufgaben und Probleme zu lösen.",Educational Standards (IQB),Educational standards are performance expectations of students that are based on subject didactics and formulated at a medium level of abstraction. They thus occupy a middle position between very general educational goals on the one hand and specific tasks on the other and relate them to each other. This means they are open to the future and open to use as well as capable of achieving social consensus. The test results can be used to demonstrate how well students are able to solve subject-related tasks and problems.,Bildungsstandards sowie Lehrplan-/Curricula-orientierte Wertelisten,,,,de,,https://github.com/iqb-vocabs/iqb-vocabs.github.io,Institut für Qualitätsentwicklung im Bildungswesen,,,https://github.com/iqb-vocabs/iqb-vocabs.github.io,Schule,,,SKOS,application/pdf,,,,,https://github.com/iqb-vocabs/iqb-vocabs.github.io,,http://www.wikidata.org/entity/Q1469852,,so aufnehmen oder einzelne Bildungsstandards?
30,Lehrpläne Rheinland-Pfalz,Lehrpläne des Landes Rheinland-Pfalz.,Curricula Rhineland-Palatinate,Curricula of the state of Rhineland-Palatinate.,Bildungsstandards sowie Lehrplan-/Curricula-orientierte Wertelisten,,,,de,,https://curriculum.schulcampus-rlp.de/navigators/1,Schulcampus Rheinland-Pfalz,,,,Schule,,,,,,,,,https://curriculum.schulcampus-rlp.de/navigators/1,,http://www.wikidata.org/entity/Q1469853,,
31,Kompetenzbrowser des Instituts für Schulqualität der Länder Berlin und Brandenburg e. V. (ISQ),"Der Kompetenzbrowser ist ein einfacher Weg, die Bildungsstandards für die Fächer Deutsch, Mathematik und Englisch/Französisch für die Primar- und Sekundarstufe I zu erkunden. Insbesondere für Lehrkräfte bietet die Entfaltung der Bildungsstandards einen originellen Zugang zu den Kompetenzkonzeptionen der Rahmenlehrpläne und Vergleichsarbeiten (VERA). Die Kompetenzen werden mit Aufgaben illustriert und mit didaktischen Hinweisen zur Kompetenzentwicklung im Unterricht unterlegt.",Competence browser from the Institute for School Quality of the States of Berlin and Brandenburg e. V. (ISQ),"The competency browser is an easy way to explore the educational standards for the subjects German, mathematics and English/French for primary and lower secondary school. For teachers in particular, the development of educational standards offers an original access to the competency concepts of the framework curricula and comparative work (VERA). The skills are illustrated with tasks and supported with didactic tips for developing skills in class.",Bildungsstandards sowie Lehrplan-/Curricula-orientierte Wertelisten,,,,de,,https://kompetenzbrowser.de/,Institut für Schulqualität der Länder Berlin und Brandenburg e.V.,ISQ,,,Schule,,,,,,,,,https://kompetenzbrowser.de/,,http://www.wikidata.org/entity/Q1469854,,
,Medienkompetenz-Navigator,Keine Beschreibung verfügbar.,Media Literacy Navigator,No description available.,Bildungsstandards sowie Lehrplan-/Curricula-orientierte Wertelisten,,,,de,,https://mk-navi.mebis.bycs.de/mctool/schooltypes,Mebis,"LehrPlan Plus, mebis, Bayern",,,Schule,,,,,,,,,https://mk-navi.mebis.bycs.de/mctool/schooltypes,,http://www.wikidata.org/entity/Q1469855,,Service wird zum Februar 2025 abgeschaltet.
,Lehrplan Plus Bayern,Lehrpläne des Landes Bayern.,Curriculum Plus Bavaria,Curricula of the state of Bavaria.,Bildungsstandards sowie Lehrplan-/Curricula-orientierte Wertelisten,,,,de,,https://www.lehrplanplus.bayern.de/,Mebis,,,,Schule,,,,,,,,,https://www.lehrplanplus.bayern.de/,,http://www.wikidata.org/entity/Q1469856,,
33,Hochschulkompass,Verzeichnis von Studiengängen.,University Compass,Directory of study programs.,Hochschule: Standards und Modulkataloge,,,,de,,https://www.hochschulkompass.de/,Hochschulrektorenkonferenz,,,,Hochschule,,,,,,,,,https://www.hochschulkompass.de/,,http://www.wikidata.org/entity/Q1469857,,
34,KMK: Standards für die Lehrerbildung: Bildungswissenschaften (vom 16.12.2004 i.d.F. vom 16.05.2019),"Standards in der Lehrerbildung beschreiben Anforderungen an das Handeln von Lehrkräften.
Sie beziehen sich auf Kompetenzen und somit auf Fähigkeiten, Fertigkeiten und Einstellungen,
über die eine Lehrkraft zur Bewältigung der beruflichen Anforderungen verfügen soll. Dabei
schließt berufliches Handeln auch die Kompetenz zu kollegialer Zusammenarbeit und zur Ko-
operation mit anderen Professionen und Einrichtungen ein.
Aus den angestrebten Kompetenzen ergeben sich Anforderungen für die gesamte Ausbildung
und die Berufspraxis.","KMK: Standards for teacher training: educational sciences (from December 16, 2004 as amended from May 16, 2019)","Standards in teacher training describe requirements for the actions of teachers.
They refer to competencies and thus to abilities, skills and attitudes,
which a teacher should have in order to cope with professional requirements. Included
Professional action also includes the competence for collegial cooperation and cooperation
operation with other professions and institutions.
The desired competencies result in requirements for the entire training
and professional practice.",Hochschule: Standards und Modulkataloge,,,,de,,http://w3id.org/kim/kmk-vocabs/bildungswissenschaften/,DINI-AG-KIM,,,,Lehrerbildung,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/dini-ag-kim/kmk-vocabs/refs/heads/main/bildungswissenschaften.ttl,http://w3id.org/kim/kmk-vocabs/bildungswissenschaften/index.json,,,http://w3id.org/kim/kmk-vocabs/bildungswissenschaften/,,http://www.wikidata.org/entity/Q1469858,,
35,Sammlung von Plänen verschiedener Länder im Primarbereich,Orientierungspläne für Bildung und Erziehung im Kindergarten.,Collection of plans from different countries at primary level,Orientation plans for education and upbringing in kindergarten.,Bildungsstandards sowie Lehrplan-/Curricula-orientierte Wertelisten,,,,de,,https://www.kindergartenpaedagogik.de/fachartikel/bildung-erziehung-betreuung/1951/,Martin R. Textor,,,,Primarbereich,,,,,,,,,https://www.kindergartenpaedagogik.de/fachartikel/bildung-erziehung-betreuung/1951/,,http://www.wikidata.org/entity/Q1469859,,
36,NextGeneration Science Standards ,"Im Rahmen der Next Generation Science Standards (NGSS) gibt es drei verschiedene und gleichermaßen wichtige Dimensionen des wissenschaftlichen Lernens. Diese Dimensionen werden kombiniert, um jeden Standard - oder jede Leistungserwartung - zu bilden, und jede Dimension arbeitet mit den beiden anderen zusammen, um den Schülern zu helfen, im Laufe der Zeit ein zusammenhängendes Verständnis der Wissenschaft zu entwickeln.",Next Generation Science Standards ,"Within the Next Generation Science Standards (NGSS), there are three distinct and equally important dimensions of science learning. These dimensions are combined to form each standard - or performance expectation - and each dimension works with the other two to help students develop a coherent understanding of science over time.",Bildungsstandards sowie Lehrplan-/Curricula-orientierte Wertelisten,,,,de,,https://www.nextgenscience.org/,Next Generation Science Standards,,,,,,,,,,,,,https://www.nextgenscience.org/,,http://www.wikidata.org/entity/Q1469860,,(z. B. verwendet im TeachEngineering Portal)
37,"Assessment Type, Assessment Type Administered",Die Kategorie einer Bewertung auf der Grundlage von Format und Inhalt.,"Assessment Type, Assessment Type Administered",The category of a review based on format and content.,Lernkontrollen,,,,de,,https://ceds.ed.gov/element/000029,Common Education Data Standards,,,,,,,,,,,,,https://ceds.ed.gov/element/000029,,http://www.wikidata.org/entity/Q1469861,,
38,Assessment Purpose,"Der Grund, aus dem eine Bewertung konzipiert oder durchgeführt wird.",Assessment purpose,The reason an assessment is designed or conducted.,Lernkontrollen,,,,de,,https://ceds.ed.gov/element/000026,Common Education Data Standards,,,,,,,,,,,,,https://ceds.ed.gov/element/000026,,http://www.wikidata.org/entity/Q1469862,,
,DQR / EQR (?),Keine Beschreibung verfügbar.,DQR / EQR (?),No description available.,,,,,de,,,DINI-AG-KIM,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1469863,,
40,Bildungsstufen,"Eine Wertelliste für die Stufe im Bildungssystem als Lehr-/Lernkontext, für den Lernobjekt ausgewiesen ist.",Levels of education,A list of values ​​for the level in the education system as a teaching/learning context for which the learning object is designated.,Bildungsstufen,,,,de,,https://w3id.org/kim/educationalLevel/,DINI-AG-KIM,UNESCO ISCED-2011,,https://github.com/dini-ag-kim/educationalLevel,,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/dini-ag-kim/educationalLevel/refs/heads/main/educationalLevel.ttl,https://w3id.org/kim/educationalLevel/index.json,,,https://w3id.org/kim/educationalLevel/,,http://www.wikidata.org/entity/Q1469864,,
41,Bildungsstufen,"Eine Wertelliste für die Bildungsstufe, in der das Lernobjekt genutzt werden kann. Entstanden im Kontext des OpenEduHub.",Levels of education,A value list for the educational level at which the learning object can be used. Created in the context of the OpenEduHub.,Bildungsstufen,,,,de,,http://w3id.org/openeduhub/vocabs/educationalContext/,WirLernenOnline,,,,,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/educationalContext.ttl,http://w3id.org/openeduhub/vocabs/educationalContext/index.json,,,http://w3id.org/openeduhub/vocabs/educationalContext/,,http://www.wikidata.org/entity/Q1469865,,
42,International Standard Classification of Education 1997,Dies ist eine SKOS-Darstellung der ISCED-Bildungsniveaus von 1997.,International Standard Classification of Education 1997,This is a SKOS representation of ISCED educational levels in 1997.,Bildungsstufen,,,,de,,https://w3id.org/kim/isced-1997/scheme,DINI-AG-KIM,UNESCO,,https://github.com/dini-ag-kim/vocabs-edu,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/dini-ag-kim/vocabs-edu/refs/heads/master/isced-1997.ttl,https://w3id.org/kim/isced-1997/scheme.json,,,https://w3id.org/kim/isced-1997/scheme,,http://www.wikidata.org/entity/Q1469866,,
43,International Standard Classification of Education 2011,Dies ist eine SKOS-Darstellung der ISCED-Bildungsniveaus von 2011.,International Standard Classification of Education 2011,This is a SKOS representation of ISCED education levels in 2011.,Bildungsstufen,,,,de,,https://w3id.org/kim/isced-2011/scheme,DINI-AG-KIM,UNESCO,,https://github.com/dini-ag-kim/vocabs-edu,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/dini-ag-kim/vocabs-edu/refs/heads/master/isced-2011.ttl,https://w3id.org/kim/isced-2011/scheme.json,,,https://w3id.org/kim/isced-2011/scheme,,http://www.wikidata.org/entity/Q1469867,,
44,International Standard Classification of Education 2013,Dies ist eine SKOS-Darstellung der ISCED-Bildungsniveaus von 2013.,International Standard Classification of Education 2013,This is a SKOS representation of ISCED education levels in 2013.,Bildungsstufen,,,,de,,https://w3id.org/kim/isced-2013/scheme,DINI-AG-KIM,UNESCO,,https://github.com/dini-ag-kim/vocabs-edu,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/dini-ag-kim/vocabs-edu/refs/heads/master/isced-2013.ttl,https://w3id.org/kim/isced-2013/scheme.json,,,https://w3id.org/kim/isced-2013/scheme,,http://www.wikidata.org/entity/Q1469868,,
,LOM-CH: 5.6 Bildungsstufe,,LOM-CH: 5.6 educational level,#VALUE!,Bildungsstufen,,,,de,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1469869,,
46,Common Education Data Standard: Learning Resource Education Level,"Die Bildungsstufe, die Klassenstufe oder die primäre Unterrichtsstufe, für die eine Lernressource bestimmt ist.",Common Education Data Standard: Learning Resource Education Level,"The educational level, grade level, or primary instructional level for which a learning resource is intended.",Bildungsstufen,,,,de,,https://ceds.ed.gov/element/001246,Common Education Data Standards,,,,,,,,,,,,,https://ceds.ed.gov/element/001246,,http://www.wikidata.org/entity/Q1469870,,
47,EUN Educational Context Values:,Bildungsstufen des European School Net.,EUN Educational Context Values:,Educational levels of the European School Net.,Bildungsstufen,,,,de,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,European Schoolnet Vocabulary Bank for Education,,,,,,,SKOS,application/rdf+xml,,,http://europeanschoolnet-vbe.lexaurus.net/vbe/linkeddata/vocab/EUN/EUN.EducationalContextValues/topterms.skos,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,,http://www.wikidata.org/entity/Q1469871,,
48,LRE Educational Learning Context,"Dieses Vokabular enthält Begriffe, die das institutionelle Umfeld oder das für die Verwendung des LO geeignete Bildungsniveau angeben.",LRE Educational Learning Context,This vocabulary contains terms that indicate the institutional environment or level of education appropriate for use of the LO.,Bildungsstufen,,,,de,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,"European Schoolnet Vocabulary Bank for Education, Learning Resource Exchange Kommittee",,,,,,,SKOS,application/rdf+xml,,,http://europeanschoolnet-vbe.lexaurus.net/vbe/linkeddata/vocab/LRE/LRE.contextValues/topterms.skos,,http://europeanschoolnet-vbe.lexaurus.net/vbe/browse,,http://www.wikidata.org/entity/Q1469872,,
49,Educational Context (LOM-DE),"Bildungsstufen des deutschen Schulsystems, verwendet in LOM-DE.",Educational Context (LOM-DE),"Educational levels of the German school system, used in LOM-DE.",Bildungsstufen,,,,de,,https://web.archive.org/web/20220120213540/https://sodis.de/lom-de/LOM-DE_v0.9_1.pdf,FWU,,,,,,,,application/pdf,,,,https://web.archive.org/web/20220120213540/https://sodis.de/lom-de/LOM-DE_v0.9_1.pdf,https://web.archive.org/web/20220120213540/https://sodis.de/lom-de/LOM-DE_v0.9_1.pdf,,http://www.wikidata.org/entity/Q1469873,,
50,Klassenstufe,Eine Wertelliste für Klassenstufen. Entstanden im Kontext des OpenEduHub.,grade level,A value list for grade levels. Created in the context of the OpenEduHub.,"""Klassenstufen, Jahrgangsstufen oder Fachsemester""",,,,de,,http://w3id.org/openeduhub/vocabs/educationalLevel/,WirLernenOnline,,,,,,,SKOS,"text/turtle, application/json",https://github.com/openeduhub/oeh-metadata-vocabs/blob/master/educationalLevel.ttl,http://w3id.org/openeduhub/vocabs/educationalLevel/index.json,,,http://w3id.org/openeduhub/vocabs/educationalLevel/,,http://www.wikidata.org/entity/Q1469874,,
51,XSchule: Jahrgangsstufe,Jahrgangsstufen des allgemeinbildenden Schulsystems.,XSchool: grade level,Grades of the general education school system.,"""Klassenstufen, Jahrgangsstufen oder Fachsemester""",,,,de,,https://web.archive.org/web/20240210154653/https://xschule.digital/def/xschule/1.0/spec/xsc_spezifikation_1.0.pdf,XSchule,XSchule (?),,,,,,,"application/xml, application/pdf",,,http://xschule.digital/def/xschule/1.1/code/urn-xschule-digital-xschule-codeliste-jahrgangsstufe.xml,https://web.archive.org/web/20240210154653/https://xschule.digital/def/xschule/1.0/spec/xsc_spezifikation_1.0.pdf,https://web.archive.org/web/20240210154653/https://xschule.digital/def/xschule/1.0/spec/xsc_spezifikation_1.0.pdf,,http://www.wikidata.org/entity/Q1469875,,
52,Meta-Videoportal unterrichtsvideos.net (Repo): Jahrgangsstufen,Eine Wertelliste für die Jahrgangsstufe.,Meta video portal lehrsvideos.net (repo): grade levels,A list of values ​​for the grade level.,"""Klassenstufen, Jahrgangsstufen oder Fachsemester""",,,,de,,https://unterrichtsvideos.github.io/vocabs/w3id.org/unterrichtsvideos.net/vocabs/grade/index.de.html,unterrichtsvideos.net,,,https://github.com/unterrichtsvideos/vocabs,,,,SKOS,application/json,https://github.com/unterrichtsvideos/vocabs/,https://unterrichtsvideos.github.io/vocabs/w3id.org/unterrichtsvideos.net/vocabs/grade/index.json,,,https://unterrichtsvideos.github.io/vocabs/w3id.org/unterrichtsvideos.net/vocabs/grade/index.de.html,,http://www.wikidata.org/entity/Q1469876,,
,Fachsemester,,semester,#VALUE!,"""Klassenstufen, Jahrgangsstufen oder Fachsemester""",,,,de,,https://web.archive.org/web/20231215062855/https://doku.tid.dfn.de/de:elearning_attributes#a14,,,,,,,,,,,,,,https://web.archive.org/web/20231215062855/https://doku.tid.dfn.de/de:elearning_attributes#a14,,http://www.wikidata.org/entity/Q1469877,,
54,Schularten-Vokabular,"Eine Wertelliste für Schularten im deutschen Schulsystem. Eine Schulart zeichnet sich dadurch aus, dass sie im Hinblick auf Lehrpläne, Bildungsziele und Qualifkationsniveau einen eigenständigen Charakter besitzt. Sie muss dazu keine verwaltungstechnische eigenständige Organisationseinheit sein.",School type vocabulary,"A list of values ​​for types of schools in the German school system. A type of school is characterized by the fact that it has an independent character in terms of curricula, educational goals and qualification levels. It does not have to be an administratively independent organizational unit.","""Schularten, Schultypen, Schulformen""",,,,de,,https://w3id.org/kim/schularten/,DINI-AG-KIM,,,https://github.com/dini-ag-kim/schularten,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/dini-ag-kim/schularten/refs/heads/main/schularten.ttl,https://w3id.org/kim/schularten/index.json,,,https://w3id.org/kim/schularten/,,http://www.wikidata.org/entity/Q1469878,,
55,Schularten-Vokabular,"Eine Werteliste der Schularten, die es in Deutschland gibt.",School type vocabulary,A list of values ​​of the types of schools that exist in Germany.,"""Schularten, Schultypen, Schulformen""",,,,de,,http://w3id.org/openeduhub/vocabs/schoolType/,WirLernenOnline,,,,,,,SKOS,"text/turtle, application/json",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/schoolType.ttl,http://w3id.org/openeduhub/vocabs/schoolType/index.json,,,http://w3id.org/openeduhub/vocabs/schoolType/,,http://www.wikidata.org/entity/Q1469879,,
56,Schularten Mundo,Wertelisten von Schularten bei mundo.schule,School types Mundo,Lists of values ​​for school types at mundo.schule,"""Schularten, Schultypen, Schulformen""",,,,de,,https://mundo.schule/,FWU / SODIX,,,,,,,,,,,,,https://mundo.schule/,,http://www.wikidata.org/entity/Q1469880,,
57,Art der Schule,Basierend auf Kerndatensatz der Länder für schulstatistische Individualdaten,Type of school,Based on the states' core data set for individual school statistical data,"""Schularten, Schultypen, Schulformen""",,,,de,,https://web.archive.org/web/20240210154500/https://xbildung.de/def/xbildung/1.0/spec/xbd_spezifikation_1.0.pdf,XBildung,XBildung (?),,,,,,,"application/xml, application/pdf",,,http://xschule.digital/def/xschule/1.1/code/urn-xbildung-de-kmk-codeliste-artderschule.xml,https://web.archive.org/web/20240210154500/https://xbildung.de/def/xbildung/1.0/spec/xbd_spezifikation_1.0.pdf,https://web.archive.org/web/20240210154500/https://xbildung.de/def/xbildung/1.0/spec/xbd_spezifikation_1.0.pdf,,http://www.wikidata.org/entity/Q1469881,,
58,Schularten,Schularten aus dem Datenportal BMBF.,Types of schools,School types from the BMBF data portal.,"""Schularten, Schultypen, Schulformen""",,,,de,,https://www.datenportal.bmbf.de/portal/de/K231.html,Statistisches Bundesamt,,,,,,,,application/pdf,,,,https://www.datenportal.bmbf.de/portal/de/Tabelle-2.3.2.pdf,https://www.datenportal.bmbf.de/portal/de/K231.html,,http://www.wikidata.org/entity/Q1469882,,
59,Schularten,Schularten der Plattform fobizz.,Types of schools,Types of schools on the fobizz platform.,"""Schularten, Schultypen, Schulformen""",,,,de,,https://plattform.fobizz.com/fortbildungen,fobizz,Fobizz,,,,,,,,,,,,https://plattform.fobizz.com/fortbildungen,,http://www.wikidata.org/entity/Q1469883,,
60,Schularten,Schularten von unterrrichtsvideos.net,Types of schools,Types of schools from türrrichtsvideos.net,"""Schularten, Schultypen, Schulformen""",,,,de,,https://unterrichtsvideos.net/metaportal/,unterrichtsvideos.net,,,https://github.com/unterrichtsvideos/vocabs,,,,,,,,,,https://unterrichtsvideos.net/metaportal/,,http://www.wikidata.org/entity/Q1469884,,
61,Schularten,Schularten nach meinunterricht.de,Types of schools,Types of schools according to meinlehr.de,"""Schularten, Schultypen, Schulformen""",,,,de,,https://www.meinunterricht.de/,MeinUnterrricht,meinUnterricht,,,,,,,,,,,,https://www.meinunterricht.de/,,http://www.wikidata.org/entity/Q1469885,,
62,Schularten,Schularten des digitallearninglab.de,Types of schools,Types of schools at digitallearninglab.de,"""Schularten, Schultypen, Schulformen""",,,,de,,https://digitallearninglab.de/api/schoolTypes,digital.learning.lab,,,,,https://digitallearninglab.de/api/schoolTypes,,,,,,,,https://digitallearninglab.de/api/schoolTypes,,http://www.wikidata.org/entity/Q1469886,,
63,"SIF Data Model (UK, AU, NZ, NA)",School Type / Organisation Type innerhalb der Schools Interoperability Framework Implementation Specification,"SIF Data Model (UK, AU, NZ, NA)",School Type / Organization Type within the Schools Interoperability Framework Implementation Specification,"""Schularten, Schultypen, Schulformen""",,,,de,,https://data.a4l.org/sif-specifications/,SIF Association,,,,,,,,,,,,,https://data.a4l.org/sif-specifications/,,http://www.wikidata.org/entity/Q1469887,,
64,Schulabschlüsse,Schulabschlüsse nach XHochschule mit ISCED Mapping.,School qualifications,School qualifications according to XHochschule with ISCED mapping.,Abschlüsse,,,,de,,http://xschule.digital/def/xschule/1.1/spec/xsc_spezifikation_1.1.pdf,XSchule,,,,Schule,,,,"application/xml, application/pdf",,,http://xschule.digital/def/xschule/1.1/code/urn-xbildung-de-destatis-codeliste-artdesschulabschlusses.xml,http://xschule.digital/def/xschule/1.1/spec/xsc_spezifikation_1.1.pdf,http://xschule.digital/def/xschule/1.1/spec/xsc_spezifikation_1.1.pdf,,http://www.wikidata.org/entity/Q1469888,,
65,Schulabschlüsse,Schulabschlüsse mit Mappings zu Wikidata und DNB.,School qualifications,School qualifications with mappings to Wikidata and DNB.,Abschlüsse,,,,de,,https://w3id.org/kim/schulabschluesse/,DINI-AG-KIM,,,,Schule,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/dini-ag-kim/schulabschluesse/refs/heads/main/schulabschluesse.ttl,https://w3id.org/kim/schulabschluesse/index.json,,,https://w3id.org/kim/schulabschluesse/,,http://www.wikidata.org/entity/Q1469889,,
66,Hochschulabschlüsse,Hochschulabschlüsse nach XHochschule mit ISCED Mapping.,University degrees,University degrees according to XHochschule with ISCED mapping.,Abschlüsse,,,,de,,https://xhochschule.de/def/xhochschule/1.0/spec/xhs_spezifikation_1.0.pdf,XHochschule,,,,Hochschule,,,,application/pdf,,,,https://xhochschule.de/def/xhochschule/1.0/spec/xhs_spezifikation_1.0.pdf,https://xhochschule.de/def/xhochschule/1.0/spec/xhs_spezifikation_1.0.pdf,,http://www.wikidata.org/entity/Q1469890,,
67,Destatis Schlüsseltabellen für Abschlüsse im Erhebungsportal,Hochschulabschlüsse nach Destatis.,Destatis key tables for qualifications in the survey portal,University degrees according to Destatis.,Abschlüsse,,,,de,,https://erhebungsportal.estatistik.de/Erhebungsportal/informationen/statistik-der-studenten-372,Destatis,,,https://github.com/dini-ag-kim/destatis-schluesseltabellen,Hochschule,,,,,,,,,https://erhebungsportal.estatistik.de/Erhebungsportal/informationen/statistik-der-studenten-372,,http://www.wikidata.org/entity/Q1469891,,
